DEPTO_HECHO,MUNICIPIO_HECHO,MODALIDAD,CLASE_SITIO,ZONA,GENERO,PAIS_PERSONA,CARGO_PERSONA,Etapa,"FECHA_HECHO"
BOLIVAR,CARTAGENA,ATRACO,VIAS_PUBLICAS,RURAL,FEMENINO,ARGENTINA,TURISTA_EXTRANJERO,Adultez,"02/18/2020 12:00:00"
BOLIVAR,CARTAGENA,ATRACO,PARQUES,URBANA,MASCULINO,ITALIA,TURISTA_EXTRANJERO,Adultez,"1/12/2020 0:00"
BOLIVAR,CARTAGENA,COSQUILLEO,VIAS_PUBLICAS,URBANA,MASCULINO,AUSTRALIA,TURISTA_EXTRANJERO,Adultez,"1/12/2020 0:00"
BOLIVAR,CARTAGENA,ATRACO,VIAS_PUBLICAS,URBANA,FEMENINO,GUATEMALA,TURISTA_EXTRANJERO,Adultez,"03/13/2020 12:00:00"
BOLIVAR,CARTAGENA,FACTOR_DE_OPORTUNIDAD,VIAS_PUBLICAS,URBANA,MASCULINO,PAISES_BAJOS,TURISTA_EXTRANJERO,Adultez,"02/21/2020 12:00:00"
BOLIVAR,CARTAGENA,ATRACO,ESTABLECIMIENTO_PUBLICO,URBANA,MASCULINO,SUIZA,TURISTA_EXTRANJERO,Adultez,"02/29/2020 12:00:00"
BOLIVAR,CARTAGENA,COSQUILLEO,BARES/CANTINAS/SIMILARES,URBANA,MASCULINO,ESTADOS_UNIDOS,TURISTA_EXTRANJERO,Adultez,"2/06/2020 0:00"
CALDAS,MANIZALES,FACTOR_DE_OPORTUNIDAD,VIAS_PUBLICAS,URBANA,MASCULINO,ESTADOS_UNIDOS,TURISTA_EXTRANJERO,Adultez,"1/06/2020 0:00"
CUNDINAMARCA,BOGOTA_D.C.,ATRACO,VIAS_PUBLICAS,URBANA,MASCULINO,COLOMBIA,TURISTA_EXTRANJERO,Adultez,"02/14/2020 12:00:00"
CUNDINAMARCA,BOGOTA_D.C.,USO_SUSTANCIAS_TOXICAS/ESCOPOLAMINADO,BARES/CANTINAS/SIMILARES,URBANA,MASCULINO,COSTA_RICA,TURISTA_EXTRANJERO,Adultez,"2/07/2020 0:00"
