DEPTO_HECHO;MUNICIPIO_HECHO;FECHA_HECHO;;DESCRIPCION_CONDUCTA;MODALIDAD;CLASE_SITIO;ZONA;GENERO;PAIS_PERSONA;CARGO_PERSONA;;;Etapa;;;
BOLÍVAR;CARTAGENA (CT);1/08/2020 0:00;;ARTÍCULO 168. SECUESTRO SIMPLE;COLECTIVO;HOTELES, RESIDENCIAS, Y SIMILARES.;URBANA;FEMENINO;BELGICA;TURISTA EXTRANJERO;;;Adultez;;;
BOLÍVAR;CARTAGENA (CT);02/26/2020 12:00:00 AM;;ARTÍCULO 239. HURTO PERSONAS;ATRACO;HOTELES, RESIDENCIAS, Y SIMILARES.;URBANA;FEMENINO;BELGICA;TURISTA EXTRANJERO;;;Adultez;;;
BOLÍVAR;CARTAGENA (CT);01/25/2020 12:00:00 AM;;ARTÍCULO 239. HURTO RESIDENCIAS;USO SUSTANCIAS TOXICAS / ESCOPOLAMINADO;APARTAMENTO;URBANA;MASCULINO;ESTADOS UNIDOS;TURISTA EXTRANJERO;;;Adultez;;;
BOLÍVAR;CARTAGENA (CT);2/12/2020 0:00;;ARTÍCULO 239. HURTO PERSONAS;RAPONAZO;VIAS PUBLICAS;URBANA;FEMENINO;ESPAÑA;TURISTA EXTRANJERO;;;Adultez;;;
BOLÍVAR;CARTAGENA (CT);1/03/2020 0:00;;ARTÍCULO 239. HURTO PERSONAS;ATRACO;PLAYA;URBANA;MASCULINO;VENEZUELA;TURISTA EXTRANJERO;;;Adultez;;;
BOLÍVAR;CARTAGENA (CT);01/20/2020 12:00:00 AM;;ARTÍCULO 239. HURTO PERSONAS;ATRACO;VIAS PUBLICAS;URBANA;MASCULINO;VENEZUELA;TURISTA EXTRANJERO;;;Adultez;;;
BOLÍVAR;CARTAGENA (CT);02/29/2020 12:00:00 AM;;ARTÍCULO 239. HURTO PERSONAS;FACTOR DE OPORTUNIDAD;PLAYA;URBANA;FEMENINO;COLOMBIA;TURISTA NACIONAL;;;Adultez;;;
BOLÍVAR;CARTAGENA (CT);02/29/2020 12:00:00 AM;;ARTÍCULO 239. HURTO PERSONAS;VIOLACION DE CERRADURA;INTERIOR VEHICULO PARTICULAR;URBANA;MASCULINO;COLOMBIA;TURISTA NACIONAL;;;Adultez;;;
BOLÍVAR;CARTAGENA (CT);2/09/2020 0:00;;ARTÍCULO 239. HURTO PERSONAS;RAPONAZO;VIAS PUBLICAS;URBANA;FEMENINO;COLOMBIA;TURISTA NACIONAL;;;Adultez;;;
BOLÍVAR;CARTAGENA (CT);02/27/2020 12:00:00 AM;;ARTÍCULO 239. HURTO PERSONAS;ATRACO;PARQUES;URBANA;MASCULINO;COLOMBIA;TURISTA NACIONAL;;;Adultez;;;
BOLÍVAR;CARTAGENA (CT);01/25/2020 12:00:00 AM;;ARTÍCULO 239. HURTO PERSONAS;COSQUILLEO;VIAS PUBLICAS;URBANA;MASCULINO;VENEZUELA;TURISTA EXTRANJERO;;;Adultez;;;
BOLÍVAR;CARTAGENA (CT);1/07/2020 0:00;;ARTÍCULO 239. HURTO PERSONAS;RAPONAZO;VIAS PUBLICAS;URBANA;FEMENINO;VENEZUELA;TURISTA EXTRANJERO;;;Adultez;;;
BOLÍVAR;CARTAGENA (CT);1/07/2020 0:00;;ARTÍCULO 239. HURTO PERSONAS;ATRACO;VIAS PUBLICAS;URBANA;MASCULINO;RUSIA;TURISTA EXTRANJERO;;;Adultez;;;
BOLÍVAR;CARTAGENA (CT);1/12/2020 0:00;;ARTÍCULO 239. HURTO PERSONAS;ATRACO;BUS TRANSMILENIO;URBANA;MASCULINO;VENEZUELA;TURISTA EXTRANJERO;;;Adultez;;;
BOLÍVAR;CARTAGENA (CT);2/04/2020 0:00;;ARTÍCULO 239. HURTO PERSONAS;ATRACO;VIAS PUBLICAS;URBANA;MASCULINO;VENEZUELA;TURISTA EXTRANJERO;;;Adultez;;;
BOLÍVAR;CARTAGENA (CT);3/07/2020 0:00;;ARTÍCULO 239. HURTO PERSONAS;ATRACO;VIAS PUBLICAS;URBANA;MASCULINO;BRASIL;TURISTA EXTRANJERO;;;Adultez;;;
BOLÍVAR;CARTAGENA (CT);1/10/2020 0:00;;ARTÍCULO 239. HURTO PERSONAS;ATRACO;VIAS PUBLICAS;URBANA;MASCULINO;DINAMARCA;TURISTA EXTRANJERO;;;Adultez;;;
BOLÍVAR;CARTAGENA (CT);02/18/2020 12:00:00 AM;;ARTÍCULO 239. HURTO PERSONAS;ATRACO;VIAS PUBLICAS;RURAL;FEMENINO;ARGENTINA;TURISTA EXTRANJERO;;;Adultez;;;
BOLÍVAR;CARTAGENA (CT);1/12/2020 0:00;;ARTÍCULO 239. HURTO PERSONAS;ATRACO;PARQUES;URBANA;MASCULINO;ITALIA;TURISTA EXTRANJERO;;;Adultez;;;
BOLÍVAR;CARTAGENA (CT);1/12/2020 0:00;;ARTÍCULO 239. HURTO PERSONAS;COSQUILLEO;VIAS PUBLICAS;URBANA;MASCULINO;AUSTRALIA;TURISTA EXTRANJERO;;;Adultez;;;
BOLÍVAR;CARTAGENA (CT);03/13/2020 12:00:00 AM;;ARTÍCULO 239. HURTO PERSONAS;ATRACO;VIAS PUBLICAS;URBANA;FEMENINO;GUATEMALA;TURISTA EXTRANJERO;;;Adultez;;;
BOLÍVAR;CARTAGENA (CT);02/21/2020 12:00:00 AM;;ARTÍCULO 239. HURTO PERSONAS;FACTOR DE OPORTUNIDAD;VIAS PUBLICAS;URBANA;MASCULINO;PAISES BAJOS;TURISTA EXTRANJERO;;;Adultez;;;
BOLÍVAR;CARTAGENA (CT);02/29/2020 12:00:00 AM;;ARTÍCULO 239. HURTO PERSONAS;ATRACO;ESTABLECIMIENTO PUBLICO;URBANA;MASCULINO;SUIZA;TURISTA EXTRANJERO;;;Adultez;;;
BOLÍVAR;CARTAGENA (CT);2/06/2020 0:00;;ARTÍCULO 239. HURTO PERSONAS;COSQUILLEO;BARES, CANTINAS Y SIMILARES;URBANA;MASCULINO;ESTADOS UNIDOS;TURISTA EXTRANJERO;;;Adultez;;;
CALDAS;MANIZALES (CT);1/06/2020 0:00;;ARTÍCULO 239. HURTO PERSONAS;FACTOR DE OPORTUNIDAD;VIAS PUBLICAS;URBANA;MASCULINO;ESTADOS UNIDOS;TURISTA EXTRANJERO;;;Adultez;;;
CUNDINAMARCA;BOGOTÁ D.C. (CT);02/14/2020 12:00:00 AM;;ARTÍCULO 239. HURTO PERSONAS;ATRACO;VIAS PUBLICAS;URBANA;MASCULINO;COLOMBIA;TURISTA EXTRANJERO;;;Adultez;;;
CUNDINAMARCA;BOGOTÁ D.C. (CT);2/07/2020 0:00;;ARTÍCULO 239. HURTO PERSONAS;USO SUSTANCIAS TOXICAS / ESCOPOLAMINADO;BARES, CANTINAS Y SIMILARES;URBANA;MASCULINO;COSTA RICA;TURISTA EXTRANJERO;;;Adultez;;;
CUNDINAMARCA;BOGOTÁ D.C. (CT);02/14/2020 12:00:00 AM;;ARTÍCULO 239. HURTO PERSONAS;ATRACO;PARQUES;URBANA;MASCULINO;NUEVA ZELANDA;TURISTA EXTRANJERO;;;Adultez;;;
CUNDINAMARCA;BOGOTÁ D.C. (CT);02/25/2020 12:00:00 AM;;ARTÍCULO 239. HURTO PERSONAS;COSQUILLEO;VIAS PUBLICAS;URBANA;FEMENINO;ESTADOS UNIDOS;TURISTA EXTRANJERO;;;Adultez;;;
CUNDINAMARCA;BOGOTÁ D.C. (CT);2/03/2020 0:00;;ARTÍCULO 239. HURTO PERSONAS;COSQUILLEO;VIAS PUBLICAS;URBANA;MASCULINO;ALEMANIA;TURISTA EXTRANJERO;;;Adultez;;;
CUNDINAMARCA;BOGOTÁ D.C. (CT);02/19/2020 12:00:00 AM;;ARTÍCULO 239. HURTO PERSONAS;USO SUSTANCIAS TOXICAS / ESCOPOLAMINADO;VIAS PUBLICAS;URBANA;MASCULINO;VENEZUELA;TURISTA EXTRANJERO;;;Adultez;;;
CUNDINAMARCA;BOGOTÁ D.C. (CT);01/31/2020 12:00:00 AM;;ARTÍCULO 239. HURTO PERSONAS;ATRACO;PLAYA;URBANA;MASCULINO;COLOMBIA;TURISTA NACIONAL;;;Adultez;;;
